What is the primary pedagogical benefit of dividing a computer network into distinct layers?;It allows for the modular definition of components within a large system and simplifies the process of making changes.
In a layered network stack, how does any given layer interact with the layer directly beneath it?;Each layer utilizes the specific services offered by the layer immediately below it.
What defines the 'syntax' of a protocol in the application layer?;It defines the specific structure and format of the messages exchanged between processes.
Which network architecture is characterized by a central server that handles client requests and possesses a permanently assigned IP address?;The client-server architecture.
How do clients communicate in a standard client-server architecture?;Clients communicate only with the server and do not interact directly with one another.
What is the defining characteristic of a Peer-to-Peer (P2P) network architecture?;It utilizes direct connections between pairs of communicating hosts, known as nodes, without the need for a central server.
Why is P2P architecture considered 'samoskalowalne' (self-scalable)?;The network's capacity grows as more peers join because every new node provides resources as well as consuming them.
What are the primary disadvantages of using a P2P architecture for network applications?;It typically suffers from lower levels of security, reliability, and performance compared to centralized systems.
Which transport layer protocol does HTTP utilize to ensure reliable data delivery?;HTTP utilizes the TCP protocol.
What is the primary responsibility of the transport layer during the data transmission process?;It handles the delivery of messages between specific processes running on different application hosts.
What specific term is used to describe the data units created by the transport layer?;They are called segments.
In the transport layer, what is the purpose of demultiplexing?;It is the process of delivering data from received segments to the correct application process on the host.
Which transport layer protocol provides flow control to prevent a sender from overwhelming a receiver's buffer?;The TCP protocol.
What is the main objective of the Network Layer in the Internet stack?;To provide a best-effort, connectionless transfer of datagrams between any two hosts in the network.
How does the Network Layer treat data delivery according to its 'best-effort' principle?;It makes an attempt to deliver data but does not guarantee that the datagrams will actually reach their destination.
What is the fundamental task of the Data Link Layer?;It transfers data frames across a single physical link between two adjacent network nodes.
How many bits are used to represent a standard MAC (Media Access Control) address?;A standard MAC address is 48 bits long.
Why is the structure of MAC addresses described as 'flat'?;The address is globally unique and remains constant regardless of the device's physical or logical location in the network.
What is the function of the IEEE organization regarding MAC addresses?;The IEEE manages the address space and assigns unique blocks of $2^{24}$ addresses to network card manufacturers.
What happens when a network card receives an Ethernet frame not addressed to its own MAC address or the broadcast address?;The network card simply discards the frame and does not notify the host system.
Which physical medium is preferred for long-distance transmissions due to its immunity to electromagnetic interference?;Fiber optic cable.
What is the most common and inexpensive physical medium used in modern local wired networks?;Unshielded Twisted Pair (UTP) cabling.
What is the functional motto of the UDP protocol regarding data reliability?;UDP prioritizes speed and efficiency over reliability, accepting that some data may be lost during transmission.
What information must a transport layer add to an application message to create a UDP segment?;It must add the source port number and the destination port number.
Which fields are present in the header of a UDP segment?;The header contains the source port, destination port, length, and checksum fields.
How does TCP handle the problem of out-of-order data arrival?;It uses sequence numbers to allow the receiver to reassemble the data in the correct original order.
In TCP, what mechanism is used by the receiver to confirm the successful arrival of data?;The receiver sends an acknowledgment (ACK) containing the next sequence number it expects to receive.
What is the primary cause of network congestion that TCP's congestion control tries to mitigate?;Congestion occurs when too many senders transmit data too quickly for the network's buffers, such as those in routers, to handle.
What is the purpose of 'pipelining' in TCP data transmission?;It allows a sender to transmit multiple packets without waiting for individual acknowledgments, increasing throughput.
How does Nagle's algorithm optimize TCP performance?;It combines several small application messages into a single TCP segment to minimize the total number of segments sent over the network.
What is the bit-length of the source and destination IP addresses in an IPv4 header?;Both addresses are 32 bits long.
What does the TTL (Time To Live) field in an IPv4 header signify?;It is a counter that is decremented by 1 at each router to prevent packets from circulating indefinitely in the network.
In an IPv4 header, how is the 'Protocol' field used by the receiving host?;It identifies the specific higher-layer protocol (such as TCP or UDP) to which the payload should be passed.
What is the function of the 'Offset' (pozycja fragmentu) field in an IPv4 fragmentation header?;It specifies the exact position of the fragment's data relative to the start of the original, unfragmented datagram.
What is the fixed size of an IPv6 header in bytes?;An IPv6 header has a fixed size of 40 bytes.
Why does the IPv6 header lack a checksum field?;The checksum was removed to speed up processing at routers, relying instead on error detection in other layers.
Where is fragmentation performed in an IPv6 network?;Fragmentation is performed only at the end systems (hosts), as intermediate routers are not allowed to fragment IPv6 packets.
Which ports are used by the DHCP protocol for its server and client functions?;DHCP uses UDP port 67 for the server and port 68 for the client.
What source IP address does a client use in its initial DHCP discovery message?;The client uses the source address $0.0.0.0$.
