What three conditions must an algorithm $A$ meet to be considered (completely) correct relative to specification $\langle \alpha, \beta \rangle$?;Partial correctness, definedness of calculations, and the termination property.
What does the 'partial correctness' property of an algorithm guarantee?;If the algorithm terminates for input satisfying condition $\alpha$, the results will satisfy condition $\beta$.
What is meant by the 'definedness' of algorithm calculations?;For every input satisfying $\alpha$, the algorithm's execution is never interrupted.
What is the 'termination property' (własność stopu) of an algorithm?;For every input satisfying the initial condition, the calculation is not infinite.
What is the standard unit of measurement for memory complexity in algorithms?;The machine memory word.
What is a 'dominant operation' in the context of time complexity?;An operation whose total count is proportional to the total number of all unit operations performed.
How is the pessimistic time complexity function $W(n)$ defined?;$W(n) = \sup\{t(d) : d \in D_n\}$, where $t(d)$ is the number of dominant operations for input $d$.
How is the expected time complexity function $A(n)$ calculated?;$A(n) = \sum_{k \ge 0} k \cdot p_{n,k} = E[X_n]$, the expected value of dominant operations.
What characterizes an 'in-place' (w miejscu) algorithm?;It requires only a constant amount of additional memory beyond the data storage itself.
What defines a 'stable' sorting algorithm?;It preserves the relative order of elements with equal values.
What is an 'inversion' in a sequence $a$ of length $n$?;A pair of indices $(i, j)$ such that $1 \le i < j \le n$ and $a[i] > a[j]$.
What is the maximum number of inversions in a sequence of size $n$?;$\frac{1}{2}n(n-1)$.
In Insertion Sort, what is the exact number of dominant operations $v < a[j]$ in terms of inversions?;$n - 1 + Inv(a)$.
What is the asymptotic pessimistic time complexity of Insertion Sort?;$\Theta(n^2)$.
What is the asymptotic expected time complexity of Insertion Sort?;$\Theta(n^2)$.
Which set of functions does $O(g(n))$ represent?;$\{f(n) : \exists c, n_0 > 0, \forall n \ge n_0, 0 \le f(n) \le c \cdot g(n)\}$.
What is the formal definition of the set $\Omega(g(n))$?;$\{f(n) : \exists c, n_0 > 0, \forall n \ge n_0, 0 \le c \cdot g(n) \le f(n)\}$.
When is it correct to write $f(n) = \Theta(g(n))$?;When $f(n) = O(g(n))$ and $f(n) = \Omega(g(n))$ both hold.
What structural property defines a 'complete' (zupełny) binary heap?;Leaves appear only on the last and second-to-last levels, filled consistently from left to right.
In an array-based binary heap $a$, what are the indices of the parent and children of node $i$?;Parent is $\lfloor i/2 \rfloor$; children are $2i$ and $2i+1$.
How is a binomial tree $B_k$ constructed from $B_{k-1}$?;By attaching one $B_{k-1}$ tree to the root of another $B_{k-1}$ tree.
What is the total number of nodes in a binomial tree $B_k$?;$2^k$.
What is the time complexity of the $Join(T1, T2)$ operation for binomial trees of equal degree?;$O(1)$.
What is the time complexity of the $Union(Q1, Q2)$ operation for two binomial queues?;$O(\log n)$.
In a Fibonacci Heap, what is the amortized complexity of the $Insert$ operation?;$O(1)$.
What is the amortized complexity of the $DeleteMin$ operation in a Fibonacci Heap?;$O(\log n)$.
What mechanism allows the $DecreaseKey$ operation in a Fibonacci Heap to reach $O(1)$ amortized time?;The cascading cut operation.
Why is the structure called a Fibonacci Heap?;The minimum size of a tree of degree $d$ is the $(d+2)$-th Fibonacci number.
Which sorting algorithm is characterized by $n \cdot (n-1)/2$ comparisons and $Inv(a)$ swaps?;Bubble Sort.
What is the primary advantage and primary disadvantage of Selection Sort?;Advantage: Small number of swaps ($n-1$); Disadvantage: Always $O(n^2)$ comparisons.
Why is Selection Sort not stable?;Swapping the minimum element into its position can jump over and reorder equal elements.
