What is the primary difference between point estimation and interval estimation?;"Point estimation provides a single value for a parameter $\theta$, while interval estimation provides a subset (range) of the parameter space."
Under what condition is an estimator $\theta_n$ considered 'unbiased'?;An estimator is unbiased if its expected value $E[\theta_n]$ is equal to the true parameter value $\theta$.
How is the 'bias' of an estimator $\theta_n$ mathematically defined?;The bias is defined as $b(\theta_n) = E[\theta_n] - \theta$.
What characteristic defines an 'efficient' estimator?;An efficient estimator is an unbiased estimator that possesses the smallest possible variance.
An estimator is considered 'consistent' if the probability of the estimator deviating from $\theta$ by more than $\epsilon$ approaches _____ as $n \to \infty$?;Zero
What is the conceptual difference between a consistent estimator and a 'strongly consistent' estimator?;"Consistency requires convergence in probability, while strong consistency requires the estimator to converge to $\theta$ with probability 1."
What is the primary objective of the Maximum Likelihood Estimation (MLE) method?;"To find the parameter values $\hat{\theta}$ that maximize the likelihood function $L(x_1, ..., x_n, \theta)$ for the observed data."
"In hypothesis testing, what does the null hypothesis ($H_0$) usually represent?";A statement of 'no effect' or a specific status quo regarding the population parameter.
What occurs during a Type I error in statistical testing?;The null hypothesis $H_0$ is rejected when it is actually true (a false positive).
What occurs during a Type II error in statistical testing?;The null hypothesis $H_0$ is accepted (not rejected) when it is actually false (a false negative).
How is the 'Power of a Test' defined in relation to Type II error ($\beta$)?;"The power is $1 - \beta$, representing the probability of correctly rejecting a false null hypothesis."
How is a 'p-value' defined in terms of the significance level $\alpha$?;It is the lowest significance level $\alpha$ for which the null hypothesis would be rejected for a given sample.
What is the intuitive interpretation of a p-value?;"The probability of obtaining a test statistic result at least as extreme as the one observed, assuming $H_0$ is true."
Why is the Bonferroni correction used in multiple hypothesis testing?;To control the Family-Wise Error Rate (FWER) by adjusting the significance level to $\frac{\alpha}{m}$ for $m$ tests.
How does Holm's method differ from the Bonferroni correction?;"Holm's method is a sequential, step-down procedure that is less conservative than the single-step Bonferroni adjustment."
What does the 'False Discovery Rate' (FDR) measure?;The expected proportion of rejected null hypotheses that are actually false positives ($FDR = \frac{FP}{R}$).
"In the statistical model $Y = f(X) + \epsilon$, what does $\epsilon$ represent?";A random error term (noise) with an expected value of zero that is independent of $X$.
