In the formal definition of a Nondeterministic Finite Automaton (NFA) $\langle A, Q, I, F, \delta \rangle$, what does the set $I$ represent?;The set of initial states.
What is the primary difference between the transition relation $\delta$ in an NFA and the transition function in a DFA?;In a DFA, $\delta$ is a function of type $Q \times A \to Q$ rather than a general relation.
What kind of transition allows an automaton to move between states without consuming any input letter?;An $\epsilon$-transition, where $\epsilon$ represents the empty word.
How is a 'run' (bieg) defined in the context of finite automata?;A sequence of transitions $q_0 \xrightarrow{a_1} q_1 \xrightarrow{a_2} q_2 \dots \xrightarrow{a_n} q_n$ where $q_0 \in I$.
What condition must a run satisfy to be classified as an 'accepting run'?;The sequence of transitions must end in an accepting state $q_n \in F$.
Under what condition does an automaton $A$ accept a word $w \in A^*$?;The word is accepted if there exists at least one accepting run for that word.
What does it mean for an automaton $A$ to recognize a language $L$?;It means that a word $w$ belongs to $L$ if and only if $A$ accepts $w$.
In regular expressions, what language is represented by the symbol $\emptyset$?;The empty language.
If $A$ and $B$ are regular expressions, what language is represented by the expression $A + B$?;The union of languages $L(A) \cup L(B)$.
What is the definition of the concatenation language $K \cdot L$ represented by the regular expression $AB$?;The set of all words $\{v \cdot w \mid v \in K, w \in L\}$ where $K=L(A)$ and $L=L(B)$.
What is the formal definition of the language represented by the Kleene star $A^*$?;The set $\{w_1 \cdot w_2 \dots w_n \mid w_1, w_2, \dots, w_n \in L(A), n \in \mathbb{N}\}$.
Which four models for recognizing languages are proven to be equivalent by the lemma on regular languages?;Regular expressions, NFAs, DFAs, and (non)deterministic automata with $\epsilon$-transitions.
Are regular languages closed under the intersection operation?;Yes, if $K$ and $L$ are regular, then $K \cap L$ is also regular.
What is the definition of the reversal $L^R$ of a regular language $L$?;The set $\{w^R \mid w \in L\}$, where $w^R$ is the mirror image of word $w$.
Are regular languages closed under the complement operation?;Yes, for any regular language $K \subseteq A^*$, the language $A^* - K$ is regular.
What is the formal definition of the Myhill-Nerode relation $u \sim_L v$?;Two words are related if $\forall w \in A^* : (uw \in L \iff vw \in L)$.
