What is the formal definition of a sequence $(a_n)$ converging to a limit $a \in \mathbb{R}$?;$\forall \epsilon > 0 \exists N_0 \in \mathbb{N} \forall n > N_0: |a_n - a| < \epsilon$.
Which topological property is possessed by every convergent sequence?;Every convergent sequence is bounded.
How many limits can a single convergent sequence have?;A convergent sequence has exactly one limit.
According to the arithmetic properties of limits, what is the limit of $a_n \cdot b_n$ if $a_n \to a$ and $b_n \to b$?;The limit is $a \cdot b$.
Under what condition does the limit of the quotient $\frac{a_n}{b_n}$ equal $\frac{a}{b}$?;It holds if $b_n \to b$, $b_n \ne 0$, and $b \ne 0$.
What does the 'Theorem of Three Sequences' (Sandwich Theorem) conclude if $b_n \le a_n \le c_n$ and both $b_n$ and $c_n$ converge to $a$?;The sequence $a_n$ also converges to $a$.
What is the limit of the sequence $\sqrt[n]{n}$ as $n$ approaches infinity?;The limit is $1$.
For $q \in (-1, 1)$, what is the limit of the geometric sequence $q^n$?;The limit is $0$.
What does the Bolzano-Weierstrass Theorem state regarding bounded sequences?;Every bounded sequence has a convergent subsequence.
What two conditions guarantee that a sequence in $\mathbb{R}$ has a finite limit?;The sequence must be monotonic and bounded.
What is the definition of a Cauchy sequence in $\mathbb{R}$?;$\forall \epsilon > 0 \exists N_0 \in \mathbb{N} \forall m, n > N_0: |a_n - a_m| < \epsilon$.
What is the relationship between convergent sequences and Cauchy sequences in $\mathbb{R}$?;A sequence in $\mathbb{R}$ is convergent if and only if it is a Cauchy sequence.
How is the number $e$ defined using the limit of a sequence?;$e = \lim_{n \to \infty} (1 + \frac{1}{n})^n$.
What is the 'necessary condition' for the convergence of a series $\sum_{n=1}^{\infty} a_n$?;The limit of the terms must be zero: $\lim_{n \to \infty} a_n = 0$.
What is a series called if the sequence of its partial sums $s_n$ has a finite limit $s$?;The series is called convergent.
What does the Cauchy Condensation Test state for a non-increasing sequence of positive terms $a_n$?;The series $\sum a_n$ converges if and only if the series $\sum 2^n a_{2^n}$ converges.
What is the convergence behavior of the harmonic series $\sum \frac{1}{n}$?;The harmonic series is divergent.
Under the Comparison Test, if $0 \le a_n \le c \cdot b_n$ and $\sum b_n$ converges, what can be said about $\sum a_n$?;The series $\sum a_n$ is convergent.
What does the Asymptotic Comparison Test conclude if $a_n, b_n > 0$ and $\lim_{n \to \infty} \frac{a_n}{b_n} \in (0, \infty)$?;Both series $\sum a_n$ and $\sum b_n$ either both converge or both diverge.
For which values of $s$ does the series $\sum \frac{1}{n^s}$ converge?;The series converges for $s > 1$.
What is the definition of absolute convergence for a series $\sum a_n$?;A series $\sum a_n$ is absolutely convergent if the series of absolute values $\sum |a_n|$ converges.
What is the definition of conditional convergence?;A series is conditionally convergent if it converges but is not absolutely convergent.
What are the requirements for the Leibniz Criterion to guarantee the convergence of $\sum (-1)^{n+1} a_n$?;The sequence $a_n$ must be non-negative, non-increasing, and $\lim_{n \to \infty} a_n = 0$.
What is an example of a conditionally convergent series mentioned in the text?;The alternating harmonic series $\sum_{n=1}^{\infty} \frac{(-1)^{n+1}}{n}$.
What constitutes a 'cluster point' (punkt skupienia) of a set $A \subset \mathbb{R}$?;A point $a$ is a cluster point if there exists a sequence $(a_n) \subset A \setminus \{a\}$ such that $a_n \to a$.
What is the Heine definition of the limit of a function $f(x)$ as $x \to a$?;$\lim_{x \to a} f(x) = b$ if for every sequence $x_n \to a$ (where $x_n \ne a$), $f(x_n) \to b$.
What is the Cauchy definition of the limit of a function $f(x)$ as $x \to a$?;$\forall \epsilon > 0 \exists \delta > 0 \forall x \in A \setminus \{a\}: |x - a| < \delta \implies |f(x) - b| < \epsilon$.
What is the limit of $\frac{\sin x}{x}$ as $x$ approaches $0$?;The limit is $1$.
What is the limit of $(1 + x)^{1/x}$ as $x$ approaches $0$?;The limit is $e$.
According to Weierstrass's Theorem, what does a continuous function $f$ on a closed interval $[a, b]$ always achieve?;It achieves its supremum (maximum) and infimum (minimum) on that interval.
What does the Darboux Property (Intermediate Value Theorem) state for a continuous function $f$ on $[a, b]$?;If $f$ takes values $f(x)$ and $f(y)$, it must also take every value between $f(x)$ and $f(y)$.
How does the definition of uniform continuity differ from standard continuity?;In uniform continuity, the choice of $\delta$ depends only on $\epsilon$ and not on the point $x$.
What is the Lipschitz condition for a function $f$ on set $A$?;$\exists L > 0 \forall x, y \in A: |f(x) - f(y)| \le L |x - y|$.
What is the relationship between Lipschitz continuity and uniform continuity?;If a function satisfies the Lipschitz condition, it is uniformly continuous.
What does Cantor's Theorem state regarding continuous functions on closed intervals?;Every continuous function $f: [a, b] \to \mathbb{R}$ is uniformly continuous on that interval.
How is the derivative $f'(a)$ defined as a limit of the difference quotient?;$f'(a) = \lim_{x \to a} \frac{f(x) - f(a)}{x - a}$.
What is the geometric interpretation of the derivative $f'(a)$?;It represents the slope of the tangent line to the graph of $f$ at the point $(a, f(a))$.
What is the derivative of $f(x) = \ln x$ for $x > 0$?;$f'(x) = \frac{1}{x}$.
What is the derivative of $f(x) = \arctan x$?;$f'(x) = \frac{1}{1 + x^2}$.
What is the Product Rule for differentiating $f(x)g(x)$?;$(fg)'(a) = f'(a)g(a) + f(a)g'(a)$.
