In the set of real numbers $\mathbb{R}$, what are the two unary operations defined for every $x \ne 0$?;Determining the additive opposite ($-x$) and the multiplicative inverse ($x^{-1}$).
What property is satisfied if for any $a, b \in \mathbb{R}$, the equation $a + b = b + a$ holds?;Commutativity of addition.
What property is described by the equation $a \cdot (b + c) = a \cdot b + a \cdot c$?;Distributivity of multiplication over addition.
What is the additive identity (neutral element) in the field of real numbers?;0
What is the multiplicative identity (neutral element) in the field of real numbers?;1
A set is said to be _____ with respect to an operation if the result of that operation on elements of the set is always an element of that same set?;Closed
Is the set of non-zero real numbers $\mathbb{R} \setminus \{0\}$ closed under addition?;No (e.g., $1 + (-1) = 0$, which is not in the set).
In the formal definition of a group $(G, \diamond, e)$, what property ensures that $x \diamond (y \diamond z) = (x \diamond y) \diamond z$?;Associativity
What specific requirement must be met for every $x \in G$ in a group structure $(G, \diamond, e)$ regarding inverses?;There must exist an element $y \in G$ such that $x \diamond y = e$.
What is the term for a group that additionally satisfies the condition $x \diamond y = y \diamond x$ for all $x, y \in G$?;Abelian group (or commutative group).
Why is the set of real numbers $\mathbb{R}$ with the operation of multiplication not a group?;The element 0 does not have a multiplicative inverse.
For any integer $n$, what structure is formed by the set $\mathbb{Z}_n = \{0, 1, \dots, n-1\}$ under addition modulo $n$?;An $n$-element abelian group.
What are the two specific groups found within the structure of real numbers $\mathbb{R}$?;$(\mathbb{R}, +, 0)$ and $(\mathbb{R} \setminus \{0\}, \cdot, 1)$.
A set $X$ with operations $+$ and $\cdot$ is a field if $(X, +, 0)$ is an abelian group, multiplication is commutative/associative, multiplication is distributive over addition, and _____ is an abelian group?;$(X \setminus \{0\}, \cdot, 1)$
What is the term for a finite field $(\mathbb{Z}_p, +, \cdot, 0, 1)$ where $p$ is a prime number?;Galois field.
If $(G, \diamond, e)$ is a group and $a \diamond c = e$, what is the relationship between $a \diamond c$ and $c \diamond a$?;$a \diamond c = c \diamond a = e$.
In the group $G^{op}$ defined by $x \cdot y = y \circ x$, when does $G = G^{op}$?;Only when the group $G$ is abelian.
What is the definition of the imaginary unit $i$?;$i = \sqrt{-1}$ (or $i^2 = -1$).
How is a complex number $z$ formally represented in algebraic form?;$z = a + bi$, where $a, b \in \mathbb{R}$.
Given $z = a + bi$, what notation is used to represent the real part $a$?;$\text{Re } z$
Given $z = a + bi$, what notation is used to represent the imaginary part $b$?;$\text{Im } z$
What is the result of the addition $(a + bi) + (c + di)$?;$(a + c) + (b + d)i$
What is the result of the multiplication $(a + bi) \cdot (c + di)$?;$(ac - bd) + (ad + bc)i$
What is the multiplicative inverse of $z = a + bi$ expressed in terms of $a$ and $b$?;$z^{-1} = \frac{a}{a^2 + b^2} - \frac{b}{a^2 + b^2}i$
For a complex number $z = a + bi$, how is the conjugate $\bar{z}$ defined?;$\bar{z} = a - bi$
On the complex plane, which axis corresponds to the imaginary part of a complex number?;The $y$-axis (vertical axis).
How is the modulus $|z|$ of a complex number $z = a + bi$ defined?;$|z| = \sqrt{a^2 + b^2}$
What inequality relates the sum of two complex numbers to their individual moduli?;The triangle inequality: $|z + w| \le |z| + |w|$.
In the trigonometric form $z = |z|(\cos \phi + i \sin \phi)$, what is the term for the angle $\phi$?;The argument of the complex number ($\text{arg } z$).
When multiplying two complex numbers in trigonometric form, what happens to their arguments?;The arguments are added together.
