What is the result of applying the distributive property to factor out a constant $k$ from a finite sum $\sum k x_i$?;$k \cdot \sum x_i$
How is a finite sum $\sum (x_i + y_i)$ decomposed according to the linearity of summation?;$\sum x_i + \sum y_i$
What is the closed-form expression for the sum of the first $n$ terms of an arithmetic sequence $(a_n)$?;$\frac{a_1 + a_n}{2} \cdot n$
For a geometric sequence $(g_n)$ with ratio $q$, what is the formula for the sum of the first $n$ terms?;$\frac{1 - q^n}{1 - q} \cdot g_1$
In the perturbation method for calculating a sum $S_n = \sum_{i=0}^n a_i$, what is the fundamental equation relating $S_{n+1}$ and $S_n$?;$S_n + a_{n+1} = a_0 + \sum_{i=0}^n a_{i+1}$
What is the closed-form result of the sum $\sum_{i=0}^n i 2^i$ calculated via the perturbation method?;$(n - 1)2^{n+1} + 2$
How can a multiple sum $\sum_{1 \le i \le j \le n} a_{ij}$ be rewritten as an iterated sum?;$\sum_{i=1}^n \sum_{j=i}^n a_{ij}$
What is the definition of the $k$-th harmonic number $H_k$?;$\sum_{i=1}^k \frac{1}{i}$
What is the closed-form identity for the sum of the first $n$ harmonic numbers $\sum_{k=1}^n H_k$?;$(n + 1)H_n - n$
What combinatorial value does the binomial coefficient $\binom{n}{k}$ represent?;The number of $k$-element subsets of an $n$-element set.
What is the algebraic formula for the binomial coefficient $\binom{n}{k}$ in terms of factorials?;$\frac{n!}{k!(n-k)!}$
Under what condition for $k$ and $n$ is the binomial coefficient $\binom{n}{k}$ equal to $0$?;When $k > n$ or $k < 0$.
What is the symmetry property of binomial coefficients?;$\binom{n}{k} = \binom{n}{n-k}$
State the absorption property (also known as the committee-chair identity) of binomial coefficients?;$\binom{n}{k} = \frac{n}{k} \binom{n-1}{k-1}$
State the Binomial Theorem for the expansion of $(x + y)^n$?;$\sum_{i=0}^n \binom{n}{i} x^i y^{n-i}$
What is the result of the sum $\sum_{i=0}^n \binom{n}{i}$?;$2^n$
What is the value of the alternating sum of binomial coefficients $\sum_{i=0}^n (-1)^i \binom{n}{i}$ for $n > 0$?;$0$
In permutation notation, what is the 'super-notation' (canonical cycle form)?;A cycle notation where each cycle starts with its smallest element and cycles are sorted descendingly by their first elements.
What does the notation $1^{a_1} 2^{a_2} \dots n^{a_n}$ represent for a permutation?;The type of the permutation, where $a_i$ is the number of cycles of length $i$.
What is the definition of Stirling numbers of the first kind $\left[ \genfrac{}{}{0pt}{}{n}{k} \right]$?;The number of $n$-permutations that consist of exactly $k$ cycles.
What is the recurrence relation for Stirling numbers of the first kind $\left[ \genfrac{}{}{0pt}{}{n}{k} \right]$ for $k > 0$?;$(n-1) \left[ \genfrac{}{}{0pt}{}{n-1}{k} \right] + \left[ \genfrac{}{}{0pt}{}{n-1}{k-1} \right]$
What is the base case $\left[ \genfrac{}{}{0pt}{}{n}{0} \right]$ for Stirling numbers of the first kind?;$[n = 0]$ (1 if $n=0$, else 0).
What is the definition of Stirling numbers of the second kind $\left\{ \genfrac{}{}{0pt}{}{n}{k} \right\}$?;The number of ways to partition a set of $n$ elements into $k$ non-empty subsets (blocks).
