Jakie regulacje wymuszają na firmach posiadanie procesów bezpieczeństwa (security operations)?;M.in. NIS2, DORA, RODO (GDPR) oraz KSC (Krajowy System Cyberbezpieczeństwa).
Dlaczego SOC potrzebuje usług Threat Intelligence (TI)?;Aby poznać taktyki przeciwnika (TTP), przewidywać ataki i proaktywnie dopasować obronę.
Jaki jest cel SOAR?;Automatyzacja rutynowych zadań i orkiestracja (łączenie) wielu narzędzi w procesie reakcji na incydenty.
Jaka jest różnica między alertem a incydentem?;Alert to sygnał o możliwej anomalii, a incydent to potwierdzone naruszenie bezpieczeństwa wymagające reakcji.
Dlaczego metryki są ważne?;Mierzą wydajność SOC (np. MTTR), uzasadniają budżet i wskazują procesy wymagające poprawy.
Co należy wziąć pod uwagę przy alokacji budżetu SOC?;Koszty personelu (dyżury 24/7), oprogramowania (SIEM/EDR), retencji logów, szkoleń oraz potencjalne straty z przestojów.
Czym jest normalizacja logów?;Ujednoliceniem formatu logów z wielu różnych systemów do jednego wspólnego standardu (Data Model).
Czym jest wzbogacanie logów (log enrichment)?;Dodawaniem szerszego kontekstu do logów (np. geolokalizacji adresu IP lub reputacji z bazy TI).
Wymień i wyjaśnij co najmniej dwa czynniki wpływające na retencję logów.;1. Wymogi prawne (wymuszają czas przechowywania danych) 2. Koszty przestrzeni dyskowej (storage).
Jak nazywa się kontrolowane środowisko do bezpiecznej analizy i uruchamiania złośliwych plików?;Sandbox (Piaskownica).
Czym jest Single Pane of Glass?;Scentralizowaną konsolą (np. w systemie SIEM) dającą analitykowi jeden spójny widok na alerty z różnych narzędzi.
Jak radzić sobie ze zmęczeniem alertami (alert fatigue)?;Poprzez automatyzację (SOAR), tuning reguł, agregację powiązanych zdarzeń i prawidłową priorytetyzację.
Jakie są korzyści z reguł detekcji?;Szybkie i automatyczne wykrywanie znanych zagrożeń oraz odciążenie analityków SOC.
Jaka jest rola Threat Huntingu?;Proaktywne szukanie ukrytych intruzów i zagrożeń, których nie wykryły systemy automatyczne.
Wymień metodologie Threat Huntingu.;Poszukiwania oparte na hipotezach, wskaźnikach kompromitacji (IoC) i TTPs oraz analiza anomalii i statystyk.
Jak sprawdzić czy data utworzenia pliku NTFS została zmanipulowana?;Porównać atrybut $STANDARD_INFORMATION (często fałszowany) z atrybutem $FILE_NAME (bardzo trudny do zmiany).
Jak wykryć plik wykonywalny w pamięci Windows?;Analizując pamięć (np. Volatility) pod kątem ukrytych procesów i obszarów z uprawnieniami RWX (Read-Write-Execute).
Czym jest zagrożenie (threat)?;To połączenie intencji (Intent), możliwości (Capability) oraz okazji (Opportunity) do przeprowadzenia ataku.
Jakie dwa elementy są ważne we Wskaźniku Kompromitacji (IoC)?;Mierzalny artefakt (np. adres IP, hash pliku) oraz powiązany z nim odpowiedni kontekst.
Wymień co najmniej 3 różne TTP (Taktyki, Techniki i Procedury).;1. Użycie LOLBAS (np. złośliwy PowerShell) 2. Phishing/Spoofing 3. Timestomping (manipulacja czasem).
Która metoda pozwala zweryfikować czy treść e-maila nie została złośliwie zmieniona?;DKIM (DomainKeys Identified Mail) oparty na podpisie kryptograficznym.
Która metoda weryfikuje czy nagłówek „From” e-maila odpowiada nadawcy?;DMARC (wymusza dopasowanie - alignment - domen uwierzytelnionych w SPF/DKIM).
Czy domeny „bounces.urbanthreads.com” i „urbanthreads.com” pasują do siebie w domyślnym trybie DKIM alignment?;Tak, w domyślnym trybie złagodzonym (relaxed) wystarczy zgodność domeny bazowej.
Jaka jest różnica między podejściem code a no-code?;Code wymaga pisania skryptów od zera, no-code to budowanie procesów (np. playbooków) z gotowych bloków graficznych.
Czym jest pipeline (w kontekście programowania)?;To zautomatyzowany potok CI/CD (ciąg kroków m.in. budowania, testowania i wdrażania kodu na produkcję).
Co może pomóc w utworzeniu bazowej jakości kodu (code quality baseline)?;Statyczna analiza kodu (scannery SAST, lintery) zintegrowana z repozytorium kodu.
Jakie funkcje spełnia platforma SOAR?;Pobiera alerty, wyciąga IoC, automatyzuje powtarzalne zadania i pomaga w orkiestracji reakcji na incydent.
Jaka jest różnica między automatyzacją a orkiestracją?;Automatyzacja to wykonanie jednego zadania przez maszynę, orkiestracja to koordynacja wielu zautomatyzowanych zadań.
Jakie są wyzwania w organizacji bez żadnej automatyzacji?;Wypalenie analityków (alert fatigue), błędy ludzkie i długi czas reakcji na zagrożenia.
Jakie są przykłady metryk w zarządzaniu podatnościami?;Średni czas wdrożenia poprawki (Time to Patch), liczba otwartych podatności krytycznych.
Jakie są typowe rodzaje raportów?;Operacyjne/Techniczne (incydenty), Taktyczne (CTI/IoC), Audytowe (Compliance) oraz Menedżerskie (Ocena ryzyka).
Jakie są najczęstsze opcje obsługi podatności?;Remediacja (naprawa/patch), mitygacja (zabezpieczenie tymczasowe), akceptacja, unikanie i transfer ryzyka.
Jakie są trzy filary Zero Trust?;1. Weryfikuj jednoznacznie 2. Stosuj najmniejsze uprawnienia (Least Privilege) 3. Zakładaj naruszenie (Assume Breach).
Jak nazywa się początkowy punkt wejścia Red Teamu?;Foothold (opanowanie pierwszego punktu w infrastrukturze).
Jaka jest rola White Teamu w ćwiczeniach Red Team?;Działają jako sędziowie, nadzorują przebieg testów i dbają o brak zakłóceń w działaniu biznesu.
